metric_or_field_id,display_name,catalog_group,state_group,primary_embedding_target,feature_type,observation_window,required_raw_datapoints,recommended_raw_table,recommended_feature_table,recommended_serving_table,candidate_supervised_heads,model_component,mapped_models,signal_shape_inferred,definition
Tagline,Tagline,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into profile summary.
Talent Type(s),Talent Type(s),current_profile_field,universal_state,U_LEARNING_AGILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into talent pool membership.
Thumbnail,Thumbnail,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into profile media.
Time Zone,Time Zone,current_profile_field,universal_state,U_SCHEDULE_COMMITMENT,text_context,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate; Job Context Text Encoder,semi_structured_or_text,Current technician profile/parquet field mapped into candidate context.
Website,Website,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,Access Delay / Site Friction Model,semi_structured_or_text,Current technician profile/parquet field mapped into contact identity.
Worked with,Worked with,current_profile_field,universal_state,U_CUSTOMER_EXPERIENCE,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into legacy prior.
Background check,Background check,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate,structured,Current technician profile/parquet field mapped into screening.
Certifications,Certifications,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate,structured,Current technician profile/parquet field mapped into credentials.
Credit check,Credit check,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate,structured,Current technician profile/parquet field mapped into screening.
Driving records check,Driving records check,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate,structured,Current technician profile/parquet field mapped into screening.
Drug test,Drug test,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate,structured,Current technician profile/parquet field mapped into screening.
Equipment,Equipment,current_profile_field,universal_state,U_TOOLS_MATERIALS,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into tool inventory prior.
Licenses,Licenses,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate,structured,Current technician profile/parquet field mapped into credentials.
Protec,Protec,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate,structured,Current technician profile/parquet field mapped into screening.
Skillsets,Skillsets,current_profile_field,universal_state,U_LEARNING_AGILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into legacy skill prior.
skillset2,skillset2,current_profile_field,universal_state,U_LEARNING_AGILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into current skill prior.
Worker Compensation,Worker Compensation,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate,structured,Current technician profile/parquet field mapped into screening.
Address 1,Address 1,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate,structured,Current technician profile/parquet field mapped into tech profile geo.
Address 2,Address 2,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate,structured,Current technician profile/parquet field mapped into tech profile geo.
City,City,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate,structured,Current technician profile/parquet field mapped into tech profile geo.
Country,Country,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate,structured,Current technician profile/parquet field mapped into tech profile geo.
Distance,Distance,current_profile_field,universal_state,U_TRAVEL_DISCIPLINE,text_context,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate; Job Context Text Encoder,semi_structured_or_text,Current technician profile/parquet field mapped into candidate context.
State,State,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate,structured,Current technician profile/parquet field mapped into tech profile geo.
Zip,Zip,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate,structured,Current technician profile/parquet field mapped into tech profile geo.
_source_zip,_source_zip,current_profile_field,none,,scalar,point-in-time profile snapshot,record_id | technician_id | source_system | action_log | timestamp | operator_or_system_actor,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),none,Traceability / Audit Layer,,structured,Current technician profile/parquet field mapped into lineage.
_source_csv,_source_csv,current_profile_field,none,,scalar,point-in-time profile snapshot,record_id | technician_id | source_system | action_log | timestamp | operator_or_system_actor,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),none,Traceability / Audit Layer,,structured,Current technician profile/parquet field mapped into lineage.
Core_AcceptanceCriteria,Core AcceptanceCriteria,yaml_scope_field,job_context,J_CORE_RISK_POLICY,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=batched_section_fill | extractor=policy_from_acceptance_section_or_redlines,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Acceptance Rate Aggregator; Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: core fields are required for any SOW workstream (service domains/subdomains or core template sections).
Core_CustomerLegalName,Core CustomerLegalName,yaml_scope_field,job_context,J_CORE_IDENTITY,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=fact_first_then_validate | extractor=company_name_from_doc_header_or_signature,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Customer Experience Risk Model; Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: core fields are required for any SOW workstream (service domains/subdomains or core template sections).
Core_DeliverablesSummary,Core DeliverablesSummary,yaml_scope_field,job_context,J_CORE_RISK_POLICY,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=batched_section_fill | extractor=summary_from_scope_and_deliverables_sections,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: core fields are required for any SOW workstream (service domains/subdomains or core template sections).
Core_PricingModel,Core PricingModel,yaml_scope_field,job_context,J_CORE_COMMERCIALS,categorical,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=enum_match_then_validate | extractor=pricing_model_from_fee_section_choice,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,structured,v2 rule: core fields are required for any SOW workstream (service domains/subdomains or core template sections).
Core_PrimaryCustomerContactName,Core PrimaryCustomerContactName,yaml_scope_field,job_context,J_CORE_CONTACTS,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=fact_first_then_validate | extractor=contact_name_from_email_signature_or_contacts_table,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Customer Experience Risk Model; Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: core fields are required for any SOW workstream (service domains/subdomains or core template sections).
Core_ProjectName,Core ProjectName,yaml_scope_field,job_context,J_CORE_IDENTITY,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=fact_first_then_validate | extractor=project_name_from_doc_title_or_subject,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: core fields are required for any SOW workstream (service domains/subdomains or core template sections).
Core_ProjectStartDate,Core ProjectStartDate,yaml_scope_field,job_context,J_CORE_SCHEDULE_ACCESS,timestamp,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=fact_first_then_validate | extractor=date_from_explicit_calendar_mentions,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,structured,v2 rule: core fields are required for any SOW workstream (service domains/subdomains or core template sections).
Core_SOWTitle,Core SOWTitle,yaml_scope_field,job_context,J_CORE_IDENTITY,text_context,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=fact_first_then_validate | extractor=sow_title_from_doc_title_or_subject,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,semi_structured_or_text,v2 rule: core fields are required for any SOW workstream (service domains/subdomains or core template sections).
Core_SitesCount,Core SitesCount,yaml_scope_field,job_context,J_SITE_IDENTITY,count_aggregate,site-level rollup within a job,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=count_parser | extractor=site_count_from_location_table_or_explicit_count,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,structured,v2 rule: core fields are required for any SOW workstream (service domains/subdomains or core template sections).
Core_AfterHoursRequired,Core AfterHoursRequired,yaml_scope_field,job_context,J_CORE_SCHEDULE_ACCESS,scalar,single job planning snapshot at dispatch / pre-start,field_value | source_artifact_id | source_type | source_precedence_rank | extract_confidence | activation_domain | evidence_span_or_attachment_ref | parse_strategy=enum_match_then_validate | extractor=boolean_from_explicit_yes_no_or_required_phrase,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank,structured,v2 rule: core fields are required for any SOW workstream (service domains/subdomains or core template sections).
