model_name,model_tier,category,primary_entity,purpose,required_datasets,required_feature_groups,label_or_target,recommended_algorithm,outputs,output_table,training_cadence,ui_surfaces,notes
Subdomain Adapter Bank,Neural adapters,embedding,technician-subdomain,Capture narrow specialties inside each domain without inflating unrelated work.,bridge_job_domain_scope; fact_runbook_step_event; fact_domain_tool_log; domain subdomain labels,"subdomain ids, specialty tools, rare step patterns, specialized validations",subdomain fit / specialty success,LoRA/adapters or hypernetwork deltas,"subdomain_adapter_delta, specialty_scores",fact_technician_domain_state_daily; serving_tech_embedding_cache,weekly,"specialty tags, weak-fit avoidance",Avoids fiber work making someone look great at all cabling tasks.
Job Context Structured Encoder,Neural / tabular encoder,embedding,job,Encode structured job requirements from YAML/CRM/SOW fields.,fact_job_context_field; dim_job; dim_site; bridge_job_domain_scope,"customer/site/schedule/commercials, service activation, access, BOM-like fields, policies","pair fit, risk heads, duration",FT-Transformer / TabTransformer,job_context_structured_embedding,gold_job_context_snapshot; serving_job_context_embedding_cache,on context change + daily refresh,"fit scoring, conditions, explanations",Context only; must never mutate technician state.
Job Context Text Encoder,Domain text encoder,embedding,job,"Encode unstructured notes, SOW text, transcripts, and emails.",fact_job_context_field + source text refs; transcripts; attachments,"scope text, escalations, nuanced customer/site notes, acceptance criteria","pair fit, issue risk, scope matching",domain-tuned text encoder,job_context_text_embedding,gold_job_context_snapshot; serving_job_context_embedding_cache,on text change + weekly refresh,"fit explanations, risk watchouts",Preserve source evidence spans for explainability.
Site / BOM Set Encoder,Set encoder,embedding,job-site bundle,"Encode repeated site rows, device lists, room lists, and BOM-like collections.",fact_job_context_field; repeated site/BOM rows; dim_site,"unit counts, row diversity, site complexity, repeated install patterns","staffing fit, duration, workload complexity",Deep Sets / Set Transformer,"site_set_embedding, workload_complexity_score",gold_job_context_snapshot,on context change,"workload estimate, staffing explanation",Important for rollouts and multi-site work.
Heterogeneous Graph Encoder,Graph neural network,graph,tech/site/customer graph,"Use relationships among technicians, sites, customers, reviewers, assets, and tools as a side signal.",dim_technician; dim_site; dim_customer; fact_job_outcome; fact_domain_tool_log; fact_qc_event,"co-occurrence edges, reviewer patterns, site recurrence, customer recurrence, substitute overlap","substitute quality, anomaly detection, neighbor agreement",heterogeneous GNN,"graph_side_embedding, neighbor_agreement_signal",gold_embedding_feature_bundle / fact_job_tech_fit_score,weekly,"neighbor agreement, substitute suggestions",Use as side signal; never the only ranking logic.
Pair Interaction Cross-Encoder,Neural reranker,ranking,job-tech pair,Score final job-tech compatibility after candidate retrieval.,serving_job_context_embedding_cache; serving_tech_embedding_cache; gold_tech_profile_prior; graph side signals,"J_* context, U_* state, D_* state, subdomain deltas, profile priors, graph priors",selected_with_good_outcome_vs_hard_negative,MLP / cross network / attention interaction block,"fit_score, top_reason_codes, per-head logits",fact_job_tech_fit_score,weekly; online daily scoring,"Best fit, weak fit, shortlist ranking",Primary final scoring model for dispatch.
Uncertainty & Calibration Head,Calibration model,calibration,job-tech pair,Calibrate probabilities and penalize low-evidence / OOD cases.,fact_job_tech_fit_score pre-calibration; gold_calibration_eval; monitor_prediction_drift,"raw logits, evidence count, novelty, drift, slice behavior",well-calibrated probabilities / coverage targets,temperature scaling + isotonic + evidential head,"calibrated_probabilities, uncertainty_penalty, trust_adjustment",fact_job_tech_fit_score; serving_model_explanation_cache,weekly or after drift alerts,"Trust decomposition, confidence band, watchouts",Essential for safe production recommendations.
Archetype Classifier,Classifier / clustering,representation,technician,Assign top work-style archetype and secondary archetypes for UI and explainability.,serving_tech_embedding_cache; fact_job_outcome; fact_runbook_step_event,"universal/domain embeddings, behavior clusters, proof density",archetype cluster / supervised archetype tags,k-means + classifier or prototypical network,"top_archetype, archetype_scores",serving_model_explanation_cache,monthly,Overview top archetype,Purely explanatory but highly useful for human trust.
Operating Conditions Preference Model,Multilabel preference model,conditions,technician-domain,Learn best/weak time windows and travel conditions for each technician/domain pairing.,fact_job_outcome; dim_job; dim_site; fact_travel_event; fact_arrival_event; fact_technician_domain_state_daily,"business hours vs after-hours, weekend/overnight, radius bands, remote travel, access windows",relative outcome lift by condition bucket,multilabel classifier / uplift model,"best_time_conditions, weak_time_conditions, best_travel_conditions, weak_travel_conditions",serving_model_explanation_cache,weekly,Risk & Conditions,Only show weak conditions when evidence exceeds threshold.
ANN Candidate Retrieval,Retrieval system,retrieval,job -> tech candidates,Generate viable top-K candidates quickly before reranking.,serving_job_context_embedding_cache; serving_tech_embedding_cache; serving_vector_index_technicians,"domain embeddings, universal overlays, geo shard, eligibility mask",recall@K for successful assignments,ANN vector search + rules,candidate_set_top_k,temporary retrieval result / fact_job_tech_fit_score,continuous index refresh,hidden system layer,Keep separate indexes by domain and time horizon.
Neighbor Agreement / Similarity Model,Similarity + explanation,explainability,technician,Measure whether similar technicians and similar jobs agree with this tech’s projected fit.,serving_tech_embedding_cache; serving_vector_index_technicians; fact_job_outcome,"nearest neighbors, similar job outcomes, reviewer/site overlap",agreement with observed neighborhood outcomes,kNN over embedding + agreement scorer,"neighbor_agreement_score, substitute_candidates",serving_model_explanation_cache,daily,"Trust decomposition, substitutes",Good sanity check for thin-evidence recommendations.
Learning Velocity Model,Trend model,development,technician-domain,"Quantify whether a technician is rapidly improving, stable, or regressing in a domain or step family.",fact_technician_domain_state_daily; fact_technician_skill_state_daily; training_and_runbook history,"30d vs 90d deltas, new runbook adoption, coaching events, step improvement slope",future score delta / promotion readiness,time-series regression / state-space trend model,"learning_velocity_score, momentum_band",serving_model_explanation_cache,weekly,"Skills & Certs, Overview",Great for staffing stretch opportunities without overpromising.
