metric_or_field_id,display_name,catalog_group,state_group,primary_embedding_target,recommended_raw_table,recommended_feature_table,recommended_serving_table,candidate_supervised_heads,model_component,mapped_models
Core_DeliverablesSummary,Core DeliverablesSummary,yaml_scope_field,job_context,J_CORE_RISK_POLICY,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_PricingModel,Core PricingModel,yaml_scope_field,job_context,J_CORE_COMMERCIALS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_PrimaryCustomerContactName,Core PrimaryCustomerContactName,yaml_scope_field,job_context,J_CORE_CONTACTS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Customer Experience Risk Model; Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_ProjectName,Core ProjectName,yaml_scope_field,job_context,J_CORE_IDENTITY,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_ProjectStartDate,Core ProjectStartDate,yaml_scope_field,job_context,J_CORE_SCHEDULE_ACCESS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_SOWTitle,Core SOWTitle,yaml_scope_field,job_context,J_CORE_IDENTITY,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_SitesCount,Core SitesCount,yaml_scope_field,job_context,J_SITE_IDENTITY,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_AfterHoursRequired,Core AfterHoursRequired,yaml_scope_field,job_context,J_CORE_SCHEDULE_ACCESS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_Assumptions,Core Assumptions,yaml_scope_field,job_context,J_CORE_RISK_POLICY,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_BadgeOrSecurityClearanceRequired,Core BadgeOrSecurityClearanceRequired,yaml_scope_field,job_context,J_CORE_SCHEDULE_ACCESS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_BillingIncrement,Core BillingIncrement,yaml_scope_field,job_context,J_CORE_COMMERCIALS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model
Core_ChangeOrderApprovalMode,Core ChangeOrderApprovalMode,yaml_scope_field,job_context,J_CORE_RISK_POLICY,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model
Core_CustomerResponsibilities,Core CustomerResponsibilities,yaml_scope_field,job_context,J_CORE_RISK_POLICY,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Customer Experience Risk Model; Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_Dependencies,Core Dependencies,yaml_scope_field,job_context,J_CORE_RISK_POLICY,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_EscalationPath,Core EscalationPath,yaml_scope_field,job_context,J_CORE_CONTACTS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Duration Overrun Predictor; Escalation / Blocker Risk Model; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model
Core_EscalationPrimaryContact,Core EscalationPrimaryContact,yaml_scope_field,job_context,J_CORE_CONTACTS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Duration Overrun Predictor; Escalation / Blocker Risk Model; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model
Core_NotToExceedAmount,Core NotToExceedAmount,yaml_scope_field,job_context,J_CORE_COMMERCIALS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_OutOfScope,Core OutOfScope,yaml_scope_field,job_context,J_CORE_RISK_POLICY,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_PaymentTerms,Core PaymentTerms,yaml_scope_field,job_context,J_CORE_COMMERCIALS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_PrimaryCustomerContactEmail,Core PrimaryCustomerContactEmail,yaml_scope_field,job_context,J_CORE_CONTACTS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Customer Experience Risk Model; Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_ProviderPMName,Core ProviderPMName,yaml_scope_field,job_context,J_CORE_CONTACTS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_ProviderResponsibilities,Core ProviderResponsibilities,yaml_scope_field,job_context,J_CORE_RISK_POLICY,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_RateCardOrUnitPricingReference,Core RateCardOrUnitPricingReference,yaml_scope_field,job_context,J_CORE_COMMERCIALS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_RisksAndConstraints,Core RisksAndConstraints,yaml_scope_field,job_context,J_CORE_RISK_POLICY,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_SOWEffectiveDate,Core SOWEffectiveDate,yaml_scope_field,job_context,J_CORE_IDENTITY,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_SitesList,Core SitesList,yaml_scope_field,job_context,J_SITE_IDENTITY,bronze_deal_yaml_context,fact_job_context_field / bridge_job_domain_scope / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_TargetGoLiveDate,Core TargetGoLiveDate,yaml_scope_field,job_context,J_CORE_SCHEDULE_ACCESS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_TravelRequired,Core TravelRequired,yaml_scope_field,job_context,J_CORE_SCHEDULE_ACCESS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_WorkHoursAndAccessWindow,Core WorkHoursAndAccessWindow,yaml_scope_field,job_context,J_CORE_SCHEDULE_ACCESS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_ChangeControl,Core ChangeControl,yaml_scope_field,job_context,J_CORE_RISK_POLICY,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_CountryMultiplierPolicy,Core CountryMultiplierPolicy,yaml_scope_field,job_context,J_CORE_COMMERCIALS,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model
